task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	8e/21bd66	276867	NFCORE_SARSCOVSEQ:SARSCOVSEQFASTA:SPLIT_FASTA (SARS-CoV-2_res)	COMPLETED	0	2025-08-06 11:50:15.316	532ms	0ms	130.2%	19.4 MB	1.2 GB	142.7 KB	59.7 KB
2	15/506d9a	277106	NFCORE_SARSCOVSEQ:SARSCOVSEQFASTA:NEXTCLADE (SARS-CoV-2_res_SARS-CoV-2_res.part_001)	COMPLETED	0	2025-08-06 11:50:15.935	4.2s	3.2s	43.3%	141.7 MB	215 MB	30.2 MB	59.3 MB
3	6a/8d01a4	277115	NFCORE_SARSCOVSEQ:SARSCOVSEQFASTA:NEXTCLADE (SARS-CoV-2_res_SARS-CoV-2_res.part_002)	COMPLETED	0	2025-08-06 11:50:15.950	4.2s	3.3s	40.6%	139.2 MB	215 MB	30 MB	59 MB
4	a0/ada61b	278019	NFCORE_SARSCOVSEQ:SARSCOVSEQFASTA:CSV_CONVERSION (SARS-CoV-2_res_SARS-CoV-2_res.part_001)	COMPLETED	0	2025-08-06 11:50:20.192	987ms	472ms	228.6%	15.3 MB	64.2 MB	12.1 MB	19.4 KB
5	8b/34f61a	278262	NFCORE_SARSCOVSEQ:SARSCOVSEQFASTA:CSV_CONVERSION (SARS-CoV-2_res_SARS-CoV-2_res.part_002)	COMPLETED	0	2025-08-06 11:50:21.188	1s	518ms	208.5%	15.3 MB	64.2 MB	12.1 MB	19.5 KB
6	b5/2613f7	278289	NFCORE_SARSCOVSEQ:SARSCOVSEQFASTA:TABLELOOKUP (SARS-CoV-2_res_SARS-CoV-2_res.part_001)	COMPLETED	0	2025-08-06 11:50:21.223	1.1s	596ms	172.6%	17.3 MB	342.8 MB	9.4 MB	501 B
7	20/dd1587	278695	NFCORE_SARSCOVSEQ:SARSCOVSEQFASTA:TABLELOOKUP (SARS-CoV-2_res_SARS-CoV-2_res.part_002)	COMPLETED	0	2025-08-06 11:50:22.254	1.1s	550ms	208.0%	15.6 MB	341.6 MB	9.4 MB	501 B
8	47/c0afde	278947	NFCORE_SARSCOVSEQ:SARSCOVSEQFASTA:REPORTFASTA	COMPLETED	0	2025-08-06 11:50:23.392	1.1s	543ms	212.6%	14 MB	308.8 MB	9.4 MB	12 KB
